samples,input,filtered,denoisedF,denoisedR,merged,nonchim
DLCIB16-31,294560,255636,254947,254270,243683,241739
DLCIB16-32,83259,70587,70324,70378,68448,67913
DLCIB16-33,77205,64170,63979,63885,62736,61808
DLCIB16-34,80775,65523,65223,63202,59922,59922
DLCIB16-35,90115,71690,70766,68376,66894,66875
DLCIB16-36,88929,75102,74639,74541,73025,73025
DLCIB17-10,95328,67449,66905,66694,63020,62844
DLCIB17-11,57085,40901,40073,39703,34293,34293
DLCIB17-12,31908,19443,18955,18802,16727,16710
DLCIB17-02,124297,99339,97795,97394,91131,90036
DLCIB17-03,101228,81156,80367,80113,77160,76073
DLCIB17-04,81278,63255,62251,61167,58272,58174
DLCIB17-05,225584,168074,167216,165593,157484,156093
DLCIB17-06,305837,208364,205678,203146,177762,176555
DLCIB17-07,164384,127549,125767,124083,119317,116747
DLCIB17-08,149179,112471,111216,111130,103575,101571
DLCIB17-09,60534,42641,41897,41668,40164,40001
DLCIB18-10,319785,236267,235918,231137,176906,175258
DLCIB18-11,100494,84598,84519,84496,70215,70215
DLCIB18-12,160212,105278,104729,102136,82268,82268
DLCIB18-15,192428,156706,156488,156058,131922,131922
DLCIB18-16,305818,228550,227671,227619,200761,199699
DLCIB18-17,237110,164937,163989,163476,125884,125338
DLCIB18-18,271734,153054,151280,148835,104396,101860
DLCIB18-19,246865,199475,198238,197500,176553,176553
DLCIB18-02,81448,60980,60745,60706,51908,51908
DLCIB18-20,258276,200809,199119,198094,174199,173811
DLCIB18-21,102673,71249,70491,69746,58045,58045
DLCIB18-03,296410,197827,197217,196924,163903,163650
DLCIB18-04,244737,133829,132962,120937,103802,103802
DLCIB18-05,252119,160529,159996,158453,137856,136473
DLCIB18-06,320062,103589,100842,91549,65626,65070
DLCIB18-07,187977,127119,124855,122465,100562,100547
DLCIB18-08,520556,128164,127067,125044,122292,109398
DLCIB18-09,236364,169631,169006,168686,132699,130542
